Region,copper_bank
Arizona,100
Colorado,88
New Jersey,63
Michigan,57
Ohio,50
Pennsylvania,43
Georgia,43
North Carolina,40
Illinois,40
Texas,39
Florida,38
New York,37
California,32
Montana,
Alaska,
New Hampshire,
Iowa,
Wyoming,
Rhode Island,
Nebraska,
Hawaii,
New Mexico,
Idaho,
Connecticut,
Kentucky,
Utah,
Kansas,
Indiana,
Missouri,
Massachusetts,
District of Columbia,
Alabama,
Minnesota,
Tennessee,
Nevada,
Louisiana,
Oklahoma,
Oregon,
Arkansas,
West Virginia,
Washington,
Maryland,
Wisconsin,
Maine,
South Carolina,
North Dakota,
South Dakota,
Virginia,
Vermont,
Mississippi,
Delaware,
