State,Net Worth,Net Worth (Excluding Equity in Own Home),Financial Institutions - Total,Financial Institutions - Checking Accounts,Financial Institutions - Other Interest-Earning Accounts,Equity in Own Home,Equity in Motor Vehicles, Retierment - Total, Retierment - IRA or Keogh Accounts, Retierment - 401(k) & Thrift Savings Plan
Alabama,"88,910","26,600","5,030","1,706","4,000","90,000","10,130","59,440","54,100","43,000"
Alaska,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
Arizona,"149,300","42,240","9,000","3,000","6,000","180,000","9,150","61,000","70,000","40,000"
Arkansas,"78,100","26,800","3,500","1,500","3,000","85,000","8,900","50,000","50,000","46,000"
California,"247,500","71,750","13,000","4,000","9,500","371,000","9,685","91,000","58,000","65,600"
Colorado,"186,700","68,740","10,280","3,800","6,440","250,000","10,080","70,000","51,000","43,400"
Connecticut,"224,800","121,100","17,850","4,100","13,200","176,000","9,390","107,600","80,000","60,000"
Delaware,"198,200","57,170","8,900","3,000","2,000",(B),"6,630",(B),(B),(B)
District of Columbia,"262,100","139,400","51,700","6,500",(B),(B),(B),(B),(B),(B)
Florida,"133,600","31,000","6,200","2,350","5,000","150,000","8,470","63,000","75,000","37,000"
Georgia,"80,800","22,600","5,500","2,070","5,000","100,000","8,730","49,000","40,000","35,000"
Hawaii,"433,700","40,880","16,000","4,000","10,000","430,000","10,100","103,000",(B),(B)
Idaho,"246,500","70,600","9,500","2,000","7,000","188,000","10,850","55,600",(B),"49,100"
Illinois,"137,900","46,800","12,000","3,000","10,000","124,000","7,970","80,000","80,000","55,300"
Indiana,"95,160","25,640","4,595","1,500","3,000","80,000","7,880","67,400","50,280","50,000"
Iowa,"211,200","95,500","13,000","3,510","7,000","110,000","12,280","127,200","70,000","60,000"
Kansas,"121,400","46,460","11,000","3,500","7,000","100,000","8,160","55,000","25,000","46,700"
Kentucky,"65,860","15,400","3,220","1,525","3,000","80,000","7,590","50,000","38,000","35,000"
Louisiana,"81,800","22,900","3,900","2,000","3,500","101,000","9,340","45,000","60,000","40,000"
Maine,"80,890","28,700","7,000","2,000","3,050","100,000","8,550","63,800",(B),(B)
Maryland,"231,000","94,060","17,000","4,000","10,000","190,000","9,060","90,000","70,000","60,000"
Massachusetts,"298,000","110,200","15,860","5,000","11,000","265,000","12,000","116,000","75,000","70,000"
Michigan,"135,900","53,300","10,000","2,520","6,000","110,000","7,600","65,000","50,000","50,000"
Minnesota,"268,500","144,800","16,500","5,000","11,200","126,700","10,900","147,000","68,400","100,000"
Mississippi,"58,640","11,850","2,500","1,000","2,700","76,000","7,000","50,800","49,900","34,300"
Missouri,"81,030","29,470","5,700","2,000","5,000","96,000","9,420","51,000","31,000","31,000"
Montana,"175,500","82,000","14,000","3,000","6,000","200,000","11,600","42,000",(B),"24,000"
Nebraska,"83,850","23,130","4,000","2,000","2,000","80,000","5,820","57,500","55,000","40,500"
Nevada,"75,540","26,000","8,500","3,000","5,100","190,000","10,920","62,000","64,000","25,000"
New Hampshire,"241,000","106,000","13,000","3,000","10,300","240,000","10,160","45,000",(B),(B)
New Jersey,"278,200","85,730","18,200","5,000","15,000","227,200","10,430","105,000","100,000","70,000"
New Mexico,"120,300","18,300","5,675","2,000","4,500","130,000","7,300","32,930","53,000","20,000"
New York,"144,500","60,900","13,000","3,500","10,000","200,000","9,550","77,500","53,900","51,690"
North Carolina,"127,900","38,980","7,000","2,200","5,000","125,000","9,050","70,000","70,000","42,400"
North Dakota,"224,300","120,200","20,700","5,000","13,000",(B),"15,740",(B),(B),(B)
Ohio,"106,700","30,040","7,400","2,100","6,600","101,000","7,960","80,300","70,000","49,100"
Oklahoma,"92,110","38,210","5,000","1,550","6,000","79,000","10,000","85,000","77,000","53,400"
Oregon,"293,700","92,800","12,000","3,500","8,005","250,000","10,200","95,000","79,800","70,000"
Pennsylvania,"161,600","67,000","10,250","3,000","8,000","144,000","8,230","82,000","60,000","69,500"
Rhode Island,"131,600","54,350","6,350","3,800","3,050",(B),"10,820",(B),(B),(B)
South Carolina,"105,100","33,460","7,000","2,300","5,500","100,000","9,500","50,000","50,000","40,000"
South Dakota,"163,800","54,670","6,000","2,080",(B),(B),"13,030",(B),(B),(B)
Tennessee,"77,530","24,020","5,500","2,000","4,286","100,000","7,570","50,000","79,000","38,000"
Texas,"93,500","26,790","6,000","2,400","5,000","126,000","8,630","52,000","50,000","35,000"
Utah,"189,500","61,550","12,000","2,500","7,100","215,000","7,720","60,000","30,000","36,000"
Vermont,"230,600","85,500","12,270","2,820",(B),(B),(B),(B),(B),(B)
Virginia,"183,900","85,620","14,180","4,700","10,000","180,000","10,200","100,000","93,100","62,700"
Washington,"222,700","87,580","12,800","3,300","9,533","260,000","8,890","102,000","50,000","65,900"
West Virginia,"88,100","23,100","5,500","2,000","7,000","101,000","8,300","45,000",(B),"45,000"
Wisconsin,"129,700","61,580","10,100","2,700","6,750","130,000","8,590","79,000","73,000","50,000"
Wyoming,"230,300","116,900","7,000","2,000",(B),(B),"14,320",(B),(B),(B)
